model,epsilon,accuracy,recall,recall_drop,f1
pedestrian,0.0,0.68,0.19230769230769232,0.0,0.23809523809523808
pedestrian,0.01,0.11,0.0,0.19230769230769232,0.0
pedestrian,0.05,0.0,0.0,0.19230769230769232,0.0
pedestrian,0.1,0.0,0.0,0.19230769230769232,0.0
traffic_light,0.0,0.92,0.8987341772151899,0.0,0.9466666666666667
traffic_light,0.01,0.22,0.08860759493670886,0.810126582278481,0.15217391304347827
traffic_light,0.05,0.0,0.0,0.8987341772151899,0.0
traffic_light,0.1,0.12,0.1518987341772152,0.7468354430379747,0.21428571428571427
vehicle,0.0,0.72,0.8596491228070176,0.0,0.7777777777777778
vehicle,0.01,0.32,0.5614035087719298,0.29824561403508776,0.48484848484848486
vehicle,0.05,0.02,0.03508771929824561,0.8245614035087719,0.0392156862745098
vehicle,0.1,0.22,0.38596491228070173,0.4736842105263158,0.36065573770491804
