model,calibration,bin_lower,bin_upper,count,average_confidence,accuracy
pedestrian,uncalibrated,0.0,0.1,0,,
pedestrian,uncalibrated,0.1,0.2,0,,
pedestrian,uncalibrated,0.2,0.30000000000000004,0,,
pedestrian,uncalibrated,0.30000000000000004,0.4,0,,
pedestrian,uncalibrated,0.4,0.5,0,,
pedestrian,uncalibrated,0.5,0.6000000000000001,390,0.5466265678405762,0.6461538461538462
pedestrian,uncalibrated,0.6000000000000001,0.7000000000000001,418,0.6513208746910095,0.5885167464114832
pedestrian,uncalibrated,0.7000000000000001,0.8,477,0.7500777840614319,0.5450733752620545
pedestrian,uncalibrated,0.8,0.9,712,0.8556272387504578,0.6783707865168539
pedestrian,uncalibrated,0.9,1.0,1603,0.9623616933822632,0.810979413599501
pedestrian,calibrated,0.0,0.1,0,,
pedestrian,calibrated,0.1,0.2,0,,
pedestrian,calibrated,0.2,0.30000000000000004,0,,
pedestrian,calibrated,0.30000000000000004,0.4,0,,
pedestrian,calibrated,0.4,0.5,0,,
pedestrian,calibrated,0.5,0.6000000000000001,1150,0.5495166778564453,0.5817391304347826
pedestrian,calibrated,0.6000000000000001,0.7000000000000001,1132,0.6513663530349731,0.6669611307420494
pedestrian,calibrated,0.7000000000000001,0.8,770,0.7456802129745483,0.8324675324675325
pedestrian,calibrated,0.8,0.9,545,0.8367888331413269,0.8678899082568807
pedestrian,calibrated,0.9,1.0,3,0.9121494889259338,1.0
traffic_light,uncalibrated,0.0,0.1,0,,
traffic_light,uncalibrated,0.1,0.2,0,,
traffic_light,uncalibrated,0.2,0.30000000000000004,0,,
traffic_light,uncalibrated,0.30000000000000004,0.4,0,,
traffic_light,uncalibrated,0.4,0.5,0,,
traffic_light,uncalibrated,0.5,0.6000000000000001,78,0.5591541528701782,0.44871794871794873
traffic_light,uncalibrated,0.6000000000000001,0.7000000000000001,90,0.6512470245361328,0.6444444444444445
traffic_light,uncalibrated,0.7000000000000001,0.8,135,0.7479710578918457,0.8074074074074075
traffic_light,uncalibrated,0.8,0.9,237,0.8576771020889282,0.8143459915611815
traffic_light,uncalibrated,0.9,1.0,3060,0.9859583973884583,0.953921568627451
traffic_light,calibrated,0.0,0.1,0,,
traffic_light,calibrated,0.1,0.2,0,,
traffic_light,calibrated,0.2,0.30000000000000004,0,,
traffic_light,calibrated,0.30000000000000004,0.4,0,,
traffic_light,calibrated,0.4,0.5,0,,
traffic_light,calibrated,0.5,0.6000000000000001,87,0.5539228916168213,0.47126436781609193
traffic_light,calibrated,0.6000000000000001,0.7000000000000001,130,0.6512704491615295,0.6846153846153846
traffic_light,calibrated,0.7000000000000001,0.8,160,0.7520058155059814,0.80625
traffic_light,calibrated,0.8,0.9,287,0.854732096195221,0.8571428571428571
traffic_light,calibrated,0.9,1.0,2936,0.9797885417938232,0.9567438692098093
vehicle,uncalibrated,0.0,0.1,0,,
vehicle,uncalibrated,0.1,0.2,0,,
vehicle,uncalibrated,0.2,0.30000000000000004,0,,
vehicle,uncalibrated,0.30000000000000004,0.4,0,,
vehicle,uncalibrated,0.4,0.5,0,,
vehicle,uncalibrated,0.5,0.6000000000000001,1012,0.5488163232803345,0.5573122529644269
vehicle,uncalibrated,0.6000000000000001,0.7000000000000001,695,0.6467489004135132,0.7064748201438849
vehicle,uncalibrated,0.7000000000000001,0.8,319,0.7466320991516113,0.8526645768025078
vehicle,uncalibrated,0.8,0.9,268,0.8544610142707825,0.8134328358208955
vehicle,uncalibrated,0.9,1.0,1306,0.9816960096359253,0.9877488514548239
vehicle,calibrated,0.0,0.1,0,,
vehicle,calibrated,0.1,0.2,0,,
vehicle,calibrated,0.2,0.30000000000000004,0,,
vehicle,calibrated,0.30000000000000004,0.4,0,,
vehicle,calibrated,0.4,0.5,0,,
vehicle,calibrated,0.5,0.6000000000000001,930,0.5496874451637268,0.5473118279569893
vehicle,calibrated,0.6000000000000001,0.7000000000000001,667,0.646821141242981,0.7016491754122939
vehicle,calibrated,0.7000000000000001,0.8,348,0.7397549748420715,0.7873563218390804
vehicle,calibrated,0.8,0.9,291,0.8524266481399536,0.8281786941580757
vehicle,calibrated,0.9,1.0,1364,0.9836254715919495,0.9846041055718475
